timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-01-07 17:45:55.968885,-0.6800000072,9.779999733,-0.3299999833,-0.1875,1.125,-0.875,-13.0,-20.5625,-20.75
2025-01-07 17:45:56.051414,-0.9199999571,9.8000001907,-0.349999994,0.0,-0.125,-0.0625,-13.75,-19.5,-20.6875
2025-01-07 17:45:56.131055,-0.8499999642,9.779999733,-0.2699999809,0.0,0.5625,-0.125,-12.25,-19.875,-20.25
2025-01-07 17:45:56.215095,-0.9199999571,9.779999733,-0.3100000024,0.3125,0.0625,0.3125,-13.375,-19.875,-20.6875
2025-01-07 17:45:56.292211,-0.9499999881,9.8000001907,-0.3400000036,0.0,0.0,0.5625,-13.0,-19.875,-19.875
2025-01-07 17:45:56.371972,-0.9300000072,9.7699995041,-0.3100000024,-0.1875,0.5625,-0.1875,-13.0,-19.875,-19.5
2025-01-07 17:45:56.452707,-0.7999999523,9.8099994659,-0.349999994,-0.3125,0.1875,0.125,-12.6875,-19.5,-20.25
2025-01-07 17:45:56.551917,-0.8999999762,9.779999733,-0.3100000024,-0.3125,0.125,-0.1875,-12.25,-19.5,-20.6875
2025-01-07 17:45:56.650230,-1.0,9.779999733,-0.2399999946,-0.0625,0.0,-0.125,-13.0,-20.1875,-21.0625
2025-01-07 17:45:56.729698,-0.7799999714,9.7899999619,-0.3100000024,0.0625,-0.1875,-0.0625,-12.25,-19.5,-21.0625
2025-01-07 17:45:56.812723,-1.0099999905,9.7899999619,-0.2899999917,0.375,0.0,0.8125,-12.6875,-19.875,-19.0625
2025-01-07 17:45:56.895949,-0.8799999952,9.8099994659,-0.2899999917,0.5,-0.375,0.5625,-12.0,-19.5,-20.25
2025-01-07 17:45:56.976409,-0.9599999785,9.7899999619,-0.3299999833,0.0,0.375,-0.3125,-12.25,-19.1875,-20.6875
2025-01-07 17:45:57.056415,-0.8999999762,9.7699995041,-0.3299999833,-0.25,0.5625,0.1875,-12.25,-20.5625,-20.6875
2025-01-07 17:45:57.136177,-0.8700000048,9.7899999619,-0.3100000024,0.0,-0.0625,0.375,-13.0,-19.875,-19.5
2025-01-07 17:45:57.216527,-0.9499999881,9.8000001907,-0.3700000048,0.125,-0.625,1.125,-13.375,-19.1875,-19.875
2025-01-07 17:45:57.297268,-0.8799999952,9.779999733,-0.3299999833,-0.625,-0.1875,0.0625,-12.25,-19.5,-20.6875
2025-01-07 17:45:57.376972,-0.9799999595,9.7899999619,-0.2299999893,-0.625,0.75,0.125,-12.6875,-19.875,-20.6875
2025-01-07 17:45:57.457879,-0.8999999762,9.7699995041,-0.2699999809,-0.1875,0.1875,1.875,-12.25,-20.1875,-20.6875
2025-01-07 17:45:57.532355,-0.6899999976,9.8099994659,-0.349999994,0.125,-1.25,1.9375,-13.375,-19.875,-20.6875
2025-01-07 17:45:57.608843,-0.8100000024,9.8000001907,-0.3199999928,-0.4375,0.1875,0.875,-12.6875,-19.875,-21.0625
